vid_md5,脱敏车牌号,车牌颜色,sim卡号,Lng,Lat,标准时间,系统时间,省名称,市名称,区县名称,gps速度,道路ID序列,里程表里程,海拔,vss速度,空档信号,喇叭信号,倒挡信号,制动信号,左转向灯信号,右转向灯信号,远光灯信号,近光灯信号,方向,终端状态,车辆状态,报警标志,ACC状态,gps时间,与正北方向夹角,time_diff,segment,加速度,曲折度
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.5251083,34.25189167,2021/11/1 19:06,2021/11/1 19:12,陕西省,西安市,蓝田县,81.4,55015119,62550.8,833,82.4,0,0,0,1,0,0,0,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:06,214,,1,0,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.519015,34.24815833,2021/11/1 19:07,2021/11/1 19:09,陕西省,西安市,蓝田县,68.7,69980926,62551.5,814,69,0,0,0,1,0,0,0,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:07,238,60,1,-0.587963433,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.5091633,34.241265,2021/11/1 19:08,2021/11/1 19:11,陕西省,西安市,蓝田县,70.4,69980918|26108128,62552.8,784,70,0,0,0,1,0,0,0,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:08,238,60,1,0.078703767,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.5020383,34.233205,2021/11/1 19:09,2021/11/1 19:12,陕西省,西安市,蓝田县,76,70480766|70480765,62554,754,74.7,0,0,0,1,0,0,1,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:09,198,60,1,0.259259467,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.4959583,34.22364,2021/11/1 19:10,2021/11/1 19:12,陕西省,西安市,蓝田县,72.3,26108132|26108134|26108138,62555.2,719,79.2,0,0,0,0,0,0,1,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:10,195,60,1,-0.171296433,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.491855,34.21240667,2021/11/1 19:11,2021/11/1 19:12,陕西省,西安市,蓝田县,79.7,509239713,62556.6,685,84.2,0,0,0,0,0,0,0,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:11,203,60,1,0.342592867,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.48907,34.20116667,2021/11/1 19:12,2021/11/1 19:12,陕西省,西安市,蓝田县,68.6,41675878|70803803,62557.9,659,66.7,0,0,0,1,0,0,0,1,西南,北斗定位,行驶,^,ACC开,2021/11/1 19:12,186,60,1,-0.5138893,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.4927033,34.19684167,2021/11/1 19:13,2021/11/1 19:13,陕西省,西安市,蓝田县,52,55086218,62558.8,650,62,0,0,0,0,0,0,0,1,东南,北斗定位,行驶,^,ACC开,2021/11/1 19:13,107,60,1,-0.768519133,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.5041333,34.19267667,2021/11/1 19:14,2021/11/1 19:14,陕西省,西安市,蓝田县,70.4,49994123|49994191,62560,666,72.7,0,0,0,0,0,0,0,1,东南,北斗定位,行驶,^,ACC开,2021/11/1 19:14,114,60,1,0.851852533,1.411343892
0001699af44d2a4bc5858c3111f250be,晋MN***0,黄色,64639909062,109.5156217,34.19124333,2021/11/1 19:15,2021/11/1 19:15,陕西省,西安市,蓝田县,55.7,49994191,62561.1,694,56.6,0,0,0,0,0,0,0,1,东北,北斗定位,行驶,^,ACC开,2021/11/1 19:15,85,60,1,-0.6805561,1.411343892
